Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1131,Laricifomes,officinalis,XLIV (44) - Cold Spring,E5,3,7/1/20,9,8/6/20,Fo XLIV (44) Cold Spring P3 7-1-20
1128,Laricifomes,officinalis,XLI (41) - Powell River,E5,3,7/1/20,9,8/7/20,Fo XLI (41) Powell River P3 7-1-20
1129,Laricifomes,officinalis,XLII (42) - Turtlehead,E5,2,7/1/20,9,8/7/20,Fo XLII (42) Turtle… P2  7-1-20
1132,Laricifomes,officinalis,XLIX (49) - Spider Lake II,E6,3,7/2/20,9,8/10/20,Fo XLIX (49) Spider Lake II P3 7-2-20
1093,Laricifomes,officinalis,Larson's Meadow,E5,4,7/2/20,9,8/10/20,Fo L's Meadow I P4 7-2-20
1103,Laricifomes,officinalis,Sanctuary,E6,2,7/2/20,9,8/10/20,Fo Sanct. P2 7-2-20
1097,Laricifomes,officinalis,Nowak,E5,1,7/2/20,9,8/10/20,Fo Nowak P1 7-2-20
1133,Laricifomes,officinalis,XLV (45) - Baker,E5,3,7/2/20,9,8/11/20,Fo XLV (45) Baker P3 7-2-20
1112,Laricifomes,officinalis,Vancouver Island,E5,4,7/2/20,9,8/11/20,Fo Vanc. Is. P4 7-2-20
1136,Laricifomes,officinalis,XLVIII (48) - Taylor River,E6,3,7/2/20,9,8/12/20,Fo XLVIII (48) Taylor River P3 7-2-20
1094,Laricifomes,officinalis,Larson's Meadow II,E6,2,7/2/20,9,8/12/20,Fo L's Meadow II P2 7-2-20
1231,Hericium,erinaceus,VII- Priest Point,E8,3,8/28/20,9,9/28/20,He VII Priest Point P3 8-28-20
1222,Hericium,erinaceus,Hai,E5,2,8/28/20,9,9/28/20,He Hai P2 8-28-20
1223,Hericium,erinaceus,I,E4,22,8/28/20,9,10/2/20,He I P22 8-28-20
1228,Hericium,erinaceus,Richmond VA,E5,5,8/28/20,9,10/2/20,He Richmond VA P5 8-28-20
1232,Hericium,erinaceus,VIII- Rock MD,E4,2,8/28/20,9,10/8/20,He VIII Rock MD P2 8-28-20
1108,Laricifomes,officinalis,Terrace,E4,2,9/11/20,9,10/8/20,Fo F65 Terrace P2 9-11-2020
1107,Laricifomes,officinalis,Spider Lake III,E4,3,9/11/20,9,10/12/20,Fo F67 Spider Lake III P3 9-11-2020
1109,Laricifomes,officinalis,Tiger Mountain,E4,1,9/11/20,9,10/12/20,Fo F69 Tiger Mt. P1 9-11-2020
1086,Laricifomes,officinalis,Hamilton Buttes,E4,1,9/11/20,9,10/14/20,Fo F68 Hamilton B. T. P1 9-11-20
1104,Laricifomes,officinalis,Skookum Flats,E4,1,9/11/20,9,10/22/20,Fo F66 Skookum Flats P1 9-11-2020
1225,Hericium,erinaceus,III- MD,E3,2,9/29/20,9,10/30/20,He III MD P2 9-29-20
1175,Ganoderma,lucidum,52412,E4,22,10/9/20,9,10/22/20,Gl 52412 P22 10-9-20
1181,Ganoderma,lucidum,UJ,E4,26,10/9/20,9,10/29/20,Gl UJ P26 10-9-20
1180,Ganoderma,lucidum,Maryland,E4,2,10/9/20,9,10/29/20,Gl Maryland P2 10-9-20
1178,Ganoderma,lucidum,La Gardin,E3,3,10/9/20,9,10/30/20,Gl La Gardin P3 10-9-20
1179,Ganoderma,lucidum,LH-1,E3,14,10/9/20,9,11/3/20,Gl LH - 1 P14 10-9-20
1056,Flammulina,filiformis,FP I,E3,9,10/22/20,9,11/3/20,Fv FP - 1 P9 10-22-20
1047,Ophiocordyceps,sinensis,franklin #8227,E3,2,10/22/20,9,11/4/20,Cs Franklin P2 10-22-20
1058,Flammulina,populicola,NC,E3,18,10/22/20,9,11/4/20,Fv NC P18 10-22-20
1045,Cordyceps,militaris,Mycosymbiotic,E3,2,10/22/20,9,11/23/20,Cm mycosym. P2 10-22-20
1005,Agaricus,bitorquis,Q III,E2,3,10/29/20,9,12/1/20,A. bit. Q III P3 10-29-20
1326,Chlorophyllum,rhacodes,II-Kamilche,E1,19,10/29/20,9,1/11/21,Mr II P19 10-29-20
1002,Agaricus,bisporus,II SA,E2,8,11/6/20,9,12/1/20,A. brunn. II SA P8 11-6-20
1019,Agrocybe,praecox,Casino-Freeway,E2,2,11/6/20,9,12/1/20,A. praecox Casino… P2 11-6-20
1015,Agaricus,lilaceps,I,E2,19,11/6/20,9,12/10/20,A. lilaeps I P19 11-6-20
1021,Armillaria,mellea,Colo,E2,2,11/6/20,9,12/10/20,A. mellea Colo P2 11-6-20
